Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
KOCT,2,0,0.00,0,0.00,24.15,2,0
MBND,2,0,0.00,0,0.00,27.01,2,0
XDAP,2,0,0.00,0,0.00,24.38,2,0
FLQS,1,0,0.00,0,0.00,31.32,1,0
GSST,1,0,0.00,0,0.00,49.86,1,0
IAUF,1,100,58.50,100,53.05,55.16,1,0
IECS,1,0,0.00,0,0.00,32.69,1,0
IMLP,1,0,0.00,0,0.00,13.49,1,0
MAMB,1,0,0.00,0,0.00,22.61,1,0
USEQ,1,0,0.00,0,0.00,31.90,1,0
VFLQ,1,0,0.00,0,0.00,89.94,1,0
VMOT,1,0,0.00,0,0.00,23.93,1,0
ACSI,0,0,0.00,0,0.00,0.00,0,0
AMER,0,0,0.00,0,0.00,0.00,0,0
APRZ,0,0,0.00,0,0.00,0.00,0,0
APXH,0,0,0.00,0,0.00,0.00,0,0
ARCM,0,0,0.00,0,0.00,0.00,0,0
ATMP,0,0,0.00,0,0.00,0.00,0,0
AVDG,0,0,0.00,0,0.00,0.00,0,0
BGLD,0,0,0.00,0,0.00,0.00,0,0
CFCV,0,0,0.00,0,0.00,0.00,0,0
CVAR,0,0,0.00,0,0.00,0.00,0,0
DECZ,0,0,0.00,0,0.00,0.00,0,0
DFHY,0,0,0.00,0,0.00,0.00,0,0
DJAN,0,0,0.00,0,0.00,0.00,0,0
DOCT,0,0,0.00,0,0.00,0.00,0,0
DSJA,0,0,0.00,0,0.00,0.00,0,0
DSOC,0,0,0.00,0,0.00,0.00,0,0
ESCR,0,0,0.00,0,0.00,0.00,0,0
ESEB,0,0,0.00,0,0.00,0.00,0,0
EUCG,0,0,0.00,0,0.00,0.00,0,0
FEBZ,0,0,0.00,0,0.00,0.00,0,0
FFHG,0,0,0.00,0,0.00,0.00,0,0
FLTN,0,0,0.00,0,0.00,0.00,0,0
FUNL,0,0,0.00,0,0.00,0.00,0,0
GHTA,0,0,0.00,0,0.00,0.00,0,0
GLDB,0,0,0.00,0,0.00,0.00,0,0
GPAL,0,0,0.00,0,0.00,0.00,0,0
HSUN,0,0,0.00,0,0.00,0.00,0,0
HYBL,0,0,0.00,0,0.00,0.00,0,0
HYMU,0,0,0.00,0,0.00,0.00,0,0
IBHI,0,0,0.00,0,0.00,0.00,0,0
IMFL,0,0,0.00,0,0.00,0.00,0,0
JANZ,0,0,0.00,0,0.00,0.00,0,0
LIV,0,0,0.00,0,0.00,0.00,0,0
LKOR,0,0,0.00,0,0.00,0.00,0,0
MARZ,0,0,0.00,0,0.00,0.00,0,0
MAYZ,0,0,0.00,0,0.00,0.00,0,0
MBBB,0,0,0.00,0,0.00,0.00,0,0
MBNE,0,0,0.00,0,0.00,0.00,0,0
MDEV,0,0,0.00,0,0.00,0.00,0,0
MIG,0,0,0.00,0,0.00,0.00,0,0
MOTE,0,0,0.00,0,0.00,0.00,0,0
MOTG,0,0,0.00,0,0.00,0.00,0,0
MSTQ,0,0,0.00,0,0.00,0.00,0,0
OBND,0,0,0.00,0,0.00,0.00,0,0
OCTZ,0,0,0.00,0,0.00,0.00,0,0
PLTL,0,0,0.00,0,0.00,0.00,0,0
PSCQ,0,0,0.00,0,0.00,0.00,0,0
PSCX,0,0,0.00,0,0.00,0.00,0,0
PSFM,0,0,0.00,0,0.00,0.00,0,0
QCON,0,0,0.00,0,0.00,0.00,0,0
QPFF,0,0,0.00,0,0.00,0.00,0,0
QTOC,0,0,0.00,0,0.00,0.00,0,0
RDFI,0,0,0.00,0,0.00,0.00,0,0
REC,0,0,0.00,0,0.00,0.00,0,0
ROCI,0,0,0.00,0,0.00,0.00,0,0
RODI,0,0,0.00,0,0.00,0.00,0,0
RSX,0,0,0.00,0,0.00,0.00,0,0
RSXJ,0,0,0.00,0,0.00,0.00,0,0
SEIQ,0,0,0.00,0,0.00,0.00,0,0
SELV,0,0,0.00,0,0.00,0.00,0,0
SPMV,0,0,0.00,0,0.00,0.00,0,0
STLG,0,0,0.00,0,0.00,0.00,0,0
TCTL,0,0,0.00,0,0.00,0.00,0,0
TSJA,0,0,0.00,0,0.00,0.00,0,0
TSOC,0,0,0.00,0,0.00,0.00,0,0
UFEB,0,0,0.00,0,0.00,0.00,0,0
UMAY,0,0,0.00,0,0.00,0.00,0,0
VIRS,0,0,0.00,0,0.00,0.00,0,0
VMAT,0,0,0.00,0,0.00,0.00,0,0
WIL,0,0,0.00,0,0.00,0.00,0,0
XBJA,0,0,0.00,0,0.00,0.00,0,0
XDJA,0,0,0.00,0,0.00,0.00,0,0
XDJL,0,0,0.00,0,0.00,0.00,0,0
XTAP,0,0,0.00,0,0.00,0.00,0,0
XTJA,0,0,0.00,0,0.00,0.00,0,0
XTOC,0,0,0.00,0,0.00,0.00,0,0
YDEC,0,0,0.00,0,0.00,0.00,0,0
